0:0:0,x,y,z
0:2:7.82,-9840.62,-10556.25,-10767.19
0:2:8.2,-1732.81,-1959.38,-239.06
0:2:8.20,4820.31,6720.31,10145.31
0:2:8.40,939.06,-2660.94,8398.44
0:2:8.59,1828.12,3646.88,-1954.69
0:2:8.80,-1592.19,468.75,-9457.809
0:2:9.0,-4167.19,-3135.94,-10879.69
0:2:9.18,2628.12,4676.56,4087.5
0:2:9.38,9518.75,11985.94,12521.88
0:2:9.57,643.75,1156.25,5042.19
0:2:9.77,464.06,-1450.0,-3164.06
0:2:9.97,-12142.19,-14223.44,-18070.31
0:2:10.17,-1407.81,-2601.56,-453.12
0:2:10.38,4209.38,8106.25,12167.19
0:2:10.58,2264.06,531.25,9985.941
0:2:10.79,-1092.19,-8228.12,-2907.81
0:2:11.4,-4025.0,-8150.001,-13153.12
0:2:11.24,-3751.56,-4248.44,-4010.94
0:2:11.45,6298.44,9546.88,14362.5
0:2:11.67,1439.06,-1195.31,7346.879
0:2:11.88,-1781.25,-5610.94,2657.81
0:2:12.9,-6409.379,-12481.25,-13487.5
0:2:12.29,-2770.31,-5306.25,-6482.81
0:2:12.49,4217.19,7657.81,11773.44
0:2:12.70,3348.44,-1087.5,11548.44
0:2:12.92,-3770.31,-6920.31,3173.44
0:2:13.13,-5095.31,-4498.44,-19132.81
0:2:13.34,393.75,-1357.81,-9110.941
0:2:13.55,4251.56,5476.56,13642.19
0:2:13.76,5182.81,1320.31,13670.31
0:2:13.97,1148.44,2832.81,-3260.94
0:2:14.18,239.06,4089.06,-19960.94
0:2:14.45,-737.5,-4459.38,-2881.25
0:2:14.66,4450.0,7998.44,14235.94
0:2:14.87,3784.38,428.12,10479.69
0:2:15.8,-771.88,-1479.69,-506.25
0:2:15.28,-1821.88,-2064.06,-18721.88
0:2:15.49,-3328.12,-4909.38,-2606.25
0:2:15.71,4248.44,6482.81,9351.56
0:2:15.92,6846.879,896.88,14620.31
0:2:16.13,-1921.88,-293.75,-3706.25
0:2:16.34,510.94,3160.94,-16235.94
0:2:16.56,-1770.31,-2459.38,-7600.0
