0:0:19.71,621.5819,-483.0,-766.0,1373.44,4071.88,4506.25
0:0:20.24,-99.854,-170.0,-1117.0,-620.31,10585.94,-779.69
0:0:20.36,49.316,-205.0,-535.0,-2409.38,-10153.12,4075.0
0:0:20.57,-178.955,-379.0,-815.0,-1515.62,-2351.56,-4017.19
0:0:21.10,-450.684,-427.0,-1167.0,1639.06,2337.5,-2270.31
0:0:21.64,109.375,-1231.0,-327.0,4126.56,9698.441,5643.75
0:0:21.86,-143.555,-519.0,-693.0,-2531.25,-893.75,-5870.31
0:0:21.98,132.08,-369.0,-462.0,4217.19,-6151.56,2310.94
0:0:22.10,159.18,-748.0,-1150.0,1223.44,-1167.19,-2282.81
0:0:22.53,258.789,-726.0,-938.0,-489.06,3107.81,2506.25
0:0:22.97,312.012,-529.0,-871.0,5568.75,-407.81,5010.94
0:0:23.18,-171.631,-239.0,-1053.0,-71.88,198.44,-6484.38
0:0:23.29,221.924,-531.0,-563.0,-2803.12,-10128.12,6618.75
0:0:23.62,-77.637,-973.0,-1225.0,-1115.62,3728.12,-8229.691
0:0:23.74,-333.74,-384.0,-609.0,3779.69,1095.31,3518.75
0:0:24.89,4.639,1279.0,446.0,14146.88,23231.25,-20932.81
0:0:25.32,836.182,749.0,9.0,-5623.44,1628.12,20237.5
0:0:25.86,218.994,1198.0,188.0,1982.81,4232.81,-20246.88
0:0:26.38,603.027,1454.0,134.0,-4162.5,-10696.88,17787.5
0:0:26.82,187.012,1333.0,144.0,6145.31,23429.69,-21782.81
0:0:27.35,544.434,1536.0,42.0,-3996.88,5223.44,21434.38
0:0:27.78,279.785,1604.0,388.0,7753.12,13778.12,-21207.81
0:0:28.73,226.318,1190.0,89.00001,292.19,14857.81,-18451.56
0:0:29.25,683.838,1083.0,22.0,-2703.12,-8907.809,12770.31
0:0:29.69,145.02,963.0,-18.0,1864.06,11521.88,-20193.75
0:0:30.22,678.711,1013.0,13.0,-3626.56,-12009.38,9785.941
0:0:30.65,64.45301,945.0,-56.0,5442.19,8107.81,-18104.69
0:0:31.22,882.3239,1196.0,-1.0,-5625.0,-9034.38,17764.06
0:0:31.65,186.035,1040.0,-9.0,1835.94,7578.12,-16809.38
0:0:32.17,602.539,921.0,-191.0,-2385.94,-13715.62,13767.19
0:0:32.61,41.992,1051.0,-168.0,-1242.19,5350.0,-15714.06
0:0:33.14,756.836,1097.0,-213.0,-1892.19,-6964.06,13506.25
0:0:33.57,21.973,1121.0,-38.0,1420.31,15021.88,-18889.06
0:0:34.10,715.088,1131.0,-182.0,-4978.12,-6284.379,16532.81
0:0:34.64,259.521,954.0,-92.0,-4625.0,4779.69,-16304.69
0:0:35.7,632.08,1037.0,-196.0,-9231.25,-12370.31,20142.19
0:0:36.53,-86.91401,-766.0,-844.0,-356.25,-1223.44,-1334.38
0:0:38.1,761.2299,1110.0,-61.0,-5965.62,-8679.69,10120.31
0:0:38.97,778.076,1215.0,-141.0,-7767.19,-6285.94,15789.06
0:0:39.49,44.678,1267.0,-135.0,-668.75,4829.69,-14068.75
0:0:40.3,734.131,1161.0,9.0,-6407.81,-13050.0,11321.88
0:0:40.46,-2.686,1065.0,-181.0,315.62,7829.69,-17557.81
0:0:40.99,733.887,1084.0,-121.0,-5501.56,-9921.88,13506.25
0:0:41.53,189.697,1214.0,-154.0,-4221.88,3051.56,-12737.5
0:0:41.96,760.254,1219.0,-248.0,-2187.5,-7120.31,14034.38
0:0:42.49,154.541,1167.0,-93.0,-3112.5,5643.75,-13520.31
0:0:42.93,499.512,1025.0,-285.0,-2120.31,2081.25,19639.06
0:0:43.46,37.109,1043.0,-44.0,-507.81,9109.38,-11693.75
0:0:44.0,654.297,1031.0,-59.0,-2962.5,-8853.12,13237.5
0:0:44.95,639.404,1258.0,-97.0,-8184.38,-13040.62,19309.38
0:0:45.48,215.82,1190.0,-45.0,-962.5,12637.5,-14521.88
0:0:46.1,529.297,845.0,-146.0,-3192.19,-9782.809,13684.38
0:0:46.43,15.625,988.0,-57.0,1639.06,7740.62,-14490.62
0:0:46.97,661.133,1064.0,-106.0,-6251.56,-6676.56,15810.94
0:0:47.50,152.832,1103.0,66.0,3043.75,10654.69,-17010.94
