0:0:21.68,26.45,326.75,-172.44
0:0:22.30,-34.59,-100.23,56.61
0:0:22.83,33.77,61.33,-150.23
0:0:23.15,-19.56,14.69,61.77
0:0:23.68,51.88,71.8,-94.61
0:0:24.20,-104.47,12.66,103.56
0:0:24.74,-10.95,-36.02,-83.30001
0:0:24.85,-32.53,1.58,93.23001
0:0:25.16,1.3,-100.31,-59.88
0:0:25.80,-8.42,-46.0,24.61
0:0:26.65,11.06,39.05,-27.58
0:0:26.96,-18.78,14.33,15.58
0:0:28.12,-42.8,-52.83,51.61
0:0:28.33,-0.19,-11.75,-80.30001
0:0:29.38,54.44,130.52,-87.92
0:0:30.44,19.02,18.56,-67.3
0:0:31.17,17.7,52.48,53.27
0:0:31.28,-7.28,-9.78,-36.69
0:0:31.60,69.83,38.23,26.08
0:0:31.72,-36.75,7.64,24.73
0:0:32.66,-28.23,-118.67,-20.66
0:0:32.98,-13.02,22.58,22.44
0:0:33.52,-1.55,-23.41,-28.83
0:0:33.84,-79.78,-8.0,56.67
0:0:34.15,81.48001,69.34,-24.84
0:0:34.26,-30.55,26.62,39.33
0:0:34.59,54.17,-79.45,-143.28
0:0:34.80,-94.45,-129.05,164.69
0:0:35.22,76.05,115.62,-58.5
0:0:35.34,-65.3,-74.58,58.59
0:0:35.76,-51.95,-28.7,-40.7
0:0:35.98,57.12,25.75,36.14
0:0:36.41,208.48,34.09,-160.77
0:0:36.62,-191.8,196.92,169.31
0:0:36.85,-282.34,212.36,-93.94
0:0:37.16,79.61,-246.88,31.14
0:0:37.69,-94.5,92.78,-28.39
0:0:38.74,11.2,34.81,12.67
0:0:38.96,-20.67,-54.53,-19.86
0:0:39.38,37.2,13.7,9.67
0:0:40.22,-70.25,-58.98,-52.11
0:0:40.44,179.31,10.0,45.17
0:0:40.76,9.97,-133.39,-48.38
0:0:41.8,-81.62001,108.2,-55.39
0:0:42.23,16.28,-11.91,18.92
0:0:42.55,274.11,-74.56,-158.16
0:0:42.88,361.92,-332.55,701.33
0:0:43.29,265.78,142.88,303.28
0:0:43.41,12.98,19.48,7.44
0:0:43.83,-0.09,0.2,0.12
0:0:47.51,-0.91,-1.83,-1.2
0:0:47.74,-149.2,294.64,182.38
0:0:47.85,307.34,-269.02,71.03
0:0:47.96,-170.73,280.52,-39.86
0:0:48.16,23.75,22.83,-21.25
0:0:48.27,82.14,33.94,47.47
0:0:48.38,-103.03,10.64,-22.69
0:0:48.71,9.09,-73.02,20.14
0:0:48.82,38.59,-151.02,-11.14
0:0:49.4,-20.09,77.45,82.44
0:0:49.14,8.09,-30.61,-35.14
0:0:50.31,-412.7,101.28,118.91
0:0:50.84,10.22,-46.28,-16.56
0:0:50.95,-111.33,18.88,51.58
0:0:51.10,510.75,315.28,62.78
0:0:51.32,-50.7,-201.25,-135.56
0:0:51.64,-144.61,-1.62,95.75
0:0:51.75,-3.81,-100.64,-103.06
0:0:51.86,-10.77,57.69,159.12
0:0:52.8,228.77,42.86,-62.8
0:0:52.19,94.72,50.59,75.62
0:0:52.40,301.53,128.05,-156.48
0:0:52.83,-63.17,0.52,32.2
0:0:53.14,13.23,1.67,-42.05
0:0:53.25,-25.8,-136.58,60.23
0:0:53.47,19.77,-39.48,-36.89
0:0:53.58,203.55,-126.09,104.77
